,ListNo,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt,Prop_Type_num
44,1381690,0.2,7.0,2,2,,40.787735999999995,-111.862729,629900,2,0,Single Family,616000,4156,3.0,3.0,2826,1973,1
46,1381939,0.11,10.0,0,0,,40.772652,-111.858415,315000,1,2,Single Family,307000,2112,4.0,3.0,1881,1942,1
47,1380942,0.05,46.0,0,1,,40.773824,-111.873345,439900,1,0,Single Family,437900,3502,3.0,2.0,2348,1905,1
48,1380983,0.14,4.0,1,1,,40.779232,-111.867433,399900,1,2,Single Family,386000,2546,3.0,1.0,1911,1927,1
49,1381253,0.11,9.0,1,1,,40.771243,-111.862499,674500,0,1,Single Family,669000,5063,3.0,3.0,3120,1899,1
50,1380749,0.09,16.0,2,1,,40.781164000000004,-111.893188,448690,0,0,Single Family,448690,3019,4.0,2.0,2083,1940,1
52,1380142,0.33,30.0,1,2,,40.786541,-111.864929,799000,1,2,Single Family,727600,6033,5.0,3.0,5038,1971,1
53,1379307,0.11,60.0,0,1,,40.771384999999995,-111.859508,359000,0,0,Single Family,353200,2002,4.0,2.0,1535,1928,1
55,1378989,0.01,19.0,1,2,305.0,40.77172,-111.88618999999998,389000,0,0,Condo,375000,2376,2.0,2.0,1720,1981,0
56,1379089,0.11,8.0,1,2,,40.781532,-111.896899,349000,3,0,Single Family,344500,1769,2.0,2.0,1704,1852,1
57,1379092,0.14,6.0,1,1,,40.780751,-111.87252,469900,1,2,Single Family,472000,2539,3.0,2.0,1933,1941,1
58,1379132,0.14,8.0,1,2,1.0,40.772851,-111.873912,599999,1,0,Single Family,587500,3492,5.0,3.0,3486,1910,1
59,1378267,0.08,4.0,0,1,,40.773333,-111.87036499999999,397000,0,2,Single Family,394500,1100,3.0,2.0,2000,1902,1
60,1378060,0.1,27.0,0,0,,40.774004,-111.893833,373900,0,2,Single Family,370000,1820,3.0,2.0,2125,1906,1
63,1377471,0.11,4.0,0,0,,40.772207,-111.853499,479900,1,2,Single Family,515000,1606,4.0,3.0,2775,1908,1
64,1377523,0.01,4.0,0,0,170.0,40.773967,-111.875004,215000,0,1,Condo,225000,1447,2.0,1.0,900,1955,0
65,1377675,0.21,73.0,3,2,,40.781239,-111.868122,850000,0,6,Single Family,833000,4955,4.0,3.0,2691,1936,1
66,1377741,0.18,60.0,1,0,,40.7762,-111.87386399999998,499999,2,3,Single Family,500000,3172,5.0,3.0,3363,1908,1
67,1377249,0.12,43.0,0,2,,40.774,-111.875601,375000,0,0,Single Family,360300,1454,2.0,1.0,2002,1937,1
68,1377320,0.1,5.0,1,2,,40.783745,-111.895776,449999,0,2,Single Family,440200,2989,4.0,4.0,2324,2010,1
70,1376667,0.29,6.0,1,2,,40.789297,-111.872961,664900,0,4,Single Family,659900,3673,5.0,3.0,4066,1957,1
72,1376368,0.28,3.0,0,2,,40.788928000000006,-111.874574,650000,0,4,Single Family,640000,4371,4.0,3.0,3492,1975,1
73,1375685,0.1,13.0,0,1,,40.783356,-111.894016,309000,1,0,Single Family,298000,1469,3.0,2.0,1538,1928,1
74,1375889,0.28,21.0,2,1,,40.788016,-111.87051299999999,899000,2,4,Single Family,860000,3946,5.0,3.0,3198,1956,1
75,1375498,0.01,41.0,0,2,407.0,40.772842,-111.88473799999998,449000,0,0,Condo,400000,3548,2.0,3.0,2262,1985,0
76,1375574,0.11,2.0,1,0,,40.779891,-111.871325,414500,1,3,Single Family,403000,3023,3.0,2.0,2224,1910,1
77,1375273,0.16,2.0,0,0,1.0,40.771347999999996,-111.86477099999999,344900,1,0,Single Family,345000,1772,2.0,2.0,1980,1940,1
78,1377503,0.38,42.0,0,0,,40.7759,-111.897783,449900,0,0,Single Family,427500,2385,4.0,2.0,3316,1901,1
79,1374556,0.01,7.0,1,2,595.0,40.786066999999996,-111.87936599999999,665000,1,0,Condo,673000,5491,3.0,4.0,4152,1980,0
80,1374224,0.01,9.0,1,1,344.0,40.770554,-111.87296699999999,249000,0,0,Condo,246000,1492,2.0,1.0,1045,1912,0
81,1373805,0.11,4.0,0,1,,40.772831,-111.860192,439500,1,2,Single Family,446000,2537,3.0,2.0,1966,1931,1
82,1373871,0.31,5.0,2,2,,40.786707,-111.87433700000001,739900,1,0,Single Family,777000,3776,3.0,3.0,4443,1980,1
85,1371972,0.1,88.0,2,2,1.0,40.782477,-111.89927,519900,1,0,Single Family,503000,1669,3.0,3.0,2400,2014,1
86,1372073,0.11,43.0,0,1,,40.77135,-111.880599,589000,1,2,Single Family,583000,2477,4.0,3.0,3317,1906,1
93,1370940,0.11,5.0,1,0,,40.779888,-111.865808,415000,1,0,Single Family,415000,2403,5.0,2.0,2836,1906,1
94,1370322,0.11,4.0,0,2,,40.780978999999995,-111.889576,350000,1,0,Single Family,355000,3000,3.0,2.0,1963,1909,1
95,1370904,0.12,,1,2,,40.777644,-111.86686100000001,524900,1,0,Single Family,519900,3760,5.0,3.0,2882,1906,1
96,1370977,0.14,,0,1,,40.780497,-111.874799,299000,1,0,Single Family,295000,2274,3.0,2.0,2176,1937,1
97,1370464,0.02,69.0,0,1,448.0,40.771693,-111.886951,235000,0,0,Condo,235000,1860,2.0,2.0,1110,1976,0
102,1369086,0.01,7.0,0,1,761.0,40.770219,-111.887803,449900,0,0,Condo,449900,2225,3.0,2.0,1529,1986,0
103,1369281,0.08,7.0,0,0,,40.785506,-111.89818700000001,224900,0,2,Single Family,220000,612,2.0,1.0,867,1886,1
104,1368470,0.07,5.0,0,0,,40.779369,-111.895055,315000,1,0,Single Family,317150,2072,3.0,1.0,1511,1905,1
105,1368531,0.01,,2,2,100.0,40.785647999999995,-111.900301,299000,1,0,Townhouse,300000,906,2.0,3.0,1682,2014,0
106,1367985,0.11,3.0,1,0,,40.783117,-111.897227,310000,1,3,Single Family,307000,1627,2.0,1.0,1544,1903,1
107,1368099,0.01,71.0,0,2,467.0,40.774741999999996,-111.893074,419000,3,0,Condo,400000,2014,2.0,2.0,1508,1976,0
108,1367552,0.43,21.0,1,3,,40.789304,-111.886734,760000,2,0,Single Family,745000,6200,4.0,4.0,3588,1960,1
109,1367553,0.0,3.0,0,1,215.0,40.770959999999995,-111.864092,260000,0,0,Condo,275000,2022,2.0,1.0,844,1938,0
110,1367757,0.11,5.0,0,1,,40.780356,-111.87041599999999,389500,0,2,Single Family,385000,2316,3.0,2.0,1960,1914,1
111,1367760,0.12,9.0,1,1,,40.77809,-111.871936,410000,1,2,Single Family,420000,2885,4.0,3.0,2611,1895,1
112,1365778,0.27,28.0,0,3,650.0,40.782183,-111.88055700000001,858000,0,0,Single Family,810000,7200,4.0,4.0,4312,1999,1
113,1365804,0.19,2.0,0,2,,40.773463,-111.86359499999999,459000,1,5,Single Family,467000,5382,3.0,3.0,2411,1906,1
114,1365661,0.12,3.0,1,0,,40.779806,-111.871499,360000,1,3,Single Family,360500,1380,3.0,2.0,2030,1908,1
115,1364945,0.05,4.0,16,0,,40.771984,-111.870275,234900,54,0,Single Family,240000,942,3.0,1.0,1310,1934,1
116,1364562,0.0,4.0,0,1,215.0,40.770832,-111.86409099999999,260000,1,2,Condo,280000,2023,2.0,1.0,848,1938,0
117,1364685,0.01,56.0,0,1,430.0,40.774001,-111.892032,259900,0,0,Condo,249800,2176,1.0,2.0,1200,1976,0
119,1363510,0.07,4.0,0,0,,40.777190000000004,-111.86984299999999,329900,0,0,Single Family,336400,2326,4.0,2.0,2158,1910,1
120,1362949,0.13,38.0,0,2,,40.771195,-111.850002,879900,1,0,Single Family,829350,6624,4.0,3.0,2837,1926,1
121,1363072,0.14,6.0,1,0,,40.776429,-111.87420900000001,250000,0,4,Single Family,222000,1998,2.0,1.0,1191,1940,1
122,1363132,0.26,10.0,1,2,,40.775689,-111.84881999999999,898000,1,1,Single Family,819500,5500,6.0,3.0,3888,1976,1
126,1362382,0.01,10.0,0,1,315.0,40.773058,-111.88447,385000,0,0,Condo,380000,2731,2.0,3.0,2098,1985,0
127,1362254,0.26,35.0,2,2,,40.787302000000004,-111.86434299999999,800000,1,0,Single Family,780000,4297,3.0,3.0,3492,1965,1
128,1361872,0.01,14.0,1,1,448.0,40.772271,-111.88640900000001,229000,0,0,Condo,229000,1741,2.0,2.0,995,1976,0
130,1361447,0.13,88.0,1,2,,40.770928000000005,-111.852599,610000,0,0,Single Family,580000,4022,4.0,4.0,3144,1920,1
131,1360958,0.12,9.0,0,2,,40.775932,-111.86789499999999,599900,0,0,Single Family,599000,1735,3.0,3.0,2584,1910,1
132,1356684,0.12,35.0,0,2,,40.77197,-111.855744,579000,1,4,Single Family,550000,3837,3.0,3.0,2486,1902,1
133,1356153,0.36,,1,2,,40.786679,-111.86856499999999,600000,1,2,Single Family,591000,4387,4.0,3.0,2700,1956,1
134,1356213,0.01,26.0,1,1,379.0,40.774293,-111.89073400000001,215000,0,0,Condo,212500,1331,2.0,2.0,1044,1962,0
135,1356221,0.04,5.0,1,0,,40.771086,-111.86829399999999,690000,1,0,Single Family,690000,4304,2.0,2.0,4432,1891,1
136,1355917,0.12,25.0,1,1,,40.771398,-111.863203,620000,1,2,Single Family,606200,4256,4.0,3.0,3242,1898,1
137,1355627,0.12,4.0,1,1,,40.777538,-111.86999899999999,345000,0,0,Single Family,340000,2305,3.0,2.0,1600,1941,1
138,1355303,0.08,7.0,0,0,,40.775852,-111.877827,299900,0,2,Single Family,309900,1460,4.0,2.0,2704,1910,1
139,1355311,0.14,2.0,0,3,,40.773365999999996,-111.864034,599900,1,0,Single Family,599900,1991,4.0,3.0,2457,1906,1
141,1355320,0.01,14.0,3,2,,40.784853999999996,-111.87576399999999,679000,1,0,Condo,650000,4422,3.0,3.0,2548,2005,0
142,1354138,0.07,137.0,0,0,,40.773339,-111.875999,400000,1,0,Single Family,400000,3544,4.0,2.0,2312,1904,1
143,1354199,0.09,67.0,1,2,,40.7713,-111.880857,585000,0,0,Single Family,570000,3646,4.0,4.0,3294,1900,1
146,1353475,0.13,15.0,1,2,,40.770568,-111.871926,659000,2,0,Single Family,656000,2792,4.0,4.0,4370,1909,1
147,1352974,0.16,7.0,0,2,,40.782798,-111.87423799999999,409000,3,0,Single Family,397000,3200,3.0,2.0,2180,1937,1
151,1352621,0.12,42.0,1,1,,40.78218,-111.87657800000001,275000,1,0,Single Family,255000,1958,2.0,1.0,892,1923,1
153,1352374,0.01,50.0,2,2,402.0,40.77466,-111.893152,390000,0,0,Condo,375000,1657,2.0,2.0,1270,1976,0
154,1352308,0.01,196.0,0,1,528.0,40.771963,-111.88668799999999,299900,0,0,Condo,267000,1897,2.0,2.0,1167,1976,0
155,1351541,0.17,100.0,0,3,,40.769467999999996,-111.849659,949000,1,0,Single Family,920000,9205,4.0,5.0,4403,1922,1
156,1351048,0.14,30.0,0,2,,40.772032,-111.869352,464900,1,2,Single Family,460000,2611,3.0,2.0,2665,1910,1
158,1350878,0.0,91.0,0,1,530.0,40.772271,-111.88640900000001,329000,1,1,Condo,322000,2106,2.0,2.0,1205,1978,0
159,1350932,0.11,26.0,0,2,,40.770839,-111.86321799999999,440000,0,0,Single Family,340000,2329,3.0,2.0,2672,1901,1
160,1350784,0.08,20.0,1,0,,40.776277,-111.87386799999999,279900,0,0,Single Family,269000,1966,2.0,1.0,1391,1900,1
161,1350311,0.69,138.0,1,3,,40.79011,-111.89274499999999,988000,1,0,Single Family,980000,8680,5.0,4.0,4037,1996,1
162,1349685,0.15,175.0,2,2,,40.770357000000004,-111.853224,960000,1,4,Single Family,890000,5392,5.0,4.0,3687,1906,1
163,1349369,0.09,2.0,0,1,,40.774223,-111.875672,259900,0,0,Single Family,260000,1373,3.0,1.0,1390,1910,1
164,1348923,0.11,,2,2,,40.7706,-111.862936,550000,0,0,Single Family,550000,2368,4.0,3.0,2747,1901,1
165,1348822,0.24,52.0,3,2,,40.772564,-111.849572,799900,0,4,Single Family,785000,6645,4.0,4.0,4360,1921,1
166,1348574,0.1,29.0,0,0,,40.785404,-111.900512,224900,0,3,Single Family,233700,935,4.0,2.0,1564,1910,1
167,1347961,0.08,9.0,0,0,,40.779346000000004,-111.872221,264900,0,0,Single Family,260000,1804,2.0,1.0,1872,1906,1
169,1347020,0.23,28.0,1,0,,40.783512,-111.89563799999999,239000,1,3,Single Family,220000,1450,4.0,1.0,2006,1891,1
170,1347107,0.15,58.0,0,1,,40.774311,-111.864081,389900,0,0,Single Family,384900,1885,3.0,2.0,1773,1937,1
171,1346970,0.2,137.0,1,2,,40.785466,-111.87496399999999,495000,0,0,Single Family,495000,3916,2.0,2.0,2280,1973,1
172,1346169,0.01,38.0,0,1,195.0,40.772834,-111.865579,239900,0,0,Condo,235000,1539,2.0,1.0,1298,1978,0
173,1346045,0.32,95.0,5,2,,40.788587,-111.86448100000001,675000,0,4,Single Family,565000,4263,4.0,3.0,5268,1986,1
174,1346065,0.18,5.0,0,2,,40.781028000000006,-111.890652,474900,0,0,Single Family,470000,1472,3.0,3.0,2643,2015,1
175,1346116,0.06,26.0,0,1,,40.771507,-111.866832,299900,1,0,Single Family,295900,1705,2.0,1.0,1536,1900,1
177,1345949,0.08,19.0,2,0,,40.775774,-111.874599,489800,0,3,Single Family,463000,3796,3.0,4.0,3590,1910,1
180,1345420,0.13,61.0,1,1,,40.783059,-111.873883,449900,0,4,Single Family,427000,2280,3.0,2.0,1804,1939,1
181,1346624,0.31,,0,2,,40.78768,-111.87126,550000,0,4,Single Family,550000,4712,3.0,3.0,3996,1973,1
182,1345287,0.01,111.0,1,1,348.0,40.774001,-111.892032,235000,0,0,Condo,225000,1972,1.0,2.0,1200,1976,0
183,1345085,0.28,7.0,1,2,,40.789056,-111.874032,555000,0,0,Single Family,520000,3358,4.0,3.0,3084,1963,1
185,1344371,0.12,121.0,1,0,,40.771324,-111.864056,465000,1,3,Single Family,465000,2217,4.0,4.0,2980,1895,1
186,1344414,0.39,90.0,1,2,,40.78103,-111.84554399999999,799900,2,0,Single Family,756500,5265,5.0,3.0,3780,1965,1
187,1344100,0.65,40.0,2,3,,40.787163,-111.888924,974900,1,0,Single Family,877000,6461,3.0,5.0,6524,1977,1
188,1344075,0.06,35.0,0,0,,40.783563,-111.894535,350000,1,0,Single Family,338500,2760,3.0,3.0,2432,1896,1
189,1343790,0.1,25.0,1,0,,40.779336,-111.873406,324900,1,2,Single Family,326900,1883,3.0,1.0,1621,1911,1
190,1343505,0.11,15.0,2,1,,40.780589,-111.87268200000001,599000,0,2,Single Family,570000,3327,4.0,2.0,2905,1906,1
192,1343083,0.09,99.0,1,0,,40.777951,-111.876099,485000,1,0,Single Family,460000,2405,4.0,2.0,1842,1915,1
193,1343258,0.0,145.0,0,1,528.0,40.772276,-111.886521,252000,0,0,Condo,250000,1897,2.0,2.0,1167,1976,0
194,1342875,0.01,93.0,1,1,348.0,40.774253,-111.892928,230000,0,0,Condo,225000,2045,2.0,2.0,1200,1976,0
195,1344214,0.05,4.0,1,0,,40.771389,-111.863767,245900,0,0,Single Family,246000,2070,2.0,1.0,1004,1896,1
196,1342718,0.08,1.0,1,0,,40.775513000000004,-111.864065,298500,1,1,Single Family,308000,2747,3.0,2.0,1892,1915,1
197,1342451,0.37,73.0,0,4,,40.787345,-111.866973,725000,1,0,Single Family,692950,6343,5.0,4.0,5098,1971,1
198,1337906,0.03,98.0,0,2,250.0,40.779649,-111.878546,445000,0,0,Condo,429900,3505,3.0,4.0,2546,1998,0
199,1342429,0.16,55.0,0,0,,40.778117,-111.89195600000001,465000,1,0,Single Family,448000,1810,4.0,3.0,2282,1916,1
0,1337538,0.48,105.0,2,2,,40.786791,-111.86267,699000,2,0,Single Family,680000,4887,5.0,3.0,3868,1970,1
1,1336560,0.33,5.0,0,2,,40.774029999999996,-111.845674,760000,0,0,Single Family,745000,5874,3.0,3.0,2631,1972,1
2,1336275,0.01,10.0,0,1,228.0,40.770905,-111.886101,273000,2,0,Condo,275000,2383,2.0,3.0,1259,1979,0
3,1335659,0.65,20.0,3,2,,40.789159999999995,-111.866459,715000,1,0,Single Family,705000,4745,4.0,3.0,3758,1979,1
4,1335495,0.11,4.0,1,2,,40.784498,-111.87334399999999,439900,1,0,Single Family,461000,2983,3.0,2.0,2496,1953,1
7,1335632,0.27,26.0,1,4,,40.789426,-111.89198700000001,999900,1,0,Single Family,960000,6624,6.0,4.0,6008,1994,1
8,1335125,0.15,50.0,1,1,,40.769424,-111.84988999999999,645000,1,0,Single Family,625000,4756,3.0,4.0,3400,1911,1
10,1334589,0.35,143.0,0,2,,40.774299,-111.84574599999999,899000,2,0,Single Family,859000,6679,5.0,3.0,4432,1970,1
11,1334604,0.01,224.0,0,1,329.0,40.773058,-111.88447,595000,0,0,Condo,570000,3133,2.0,2.0,2098,1985,0
12,1334422,0.16,161.0,0,2,,40.776153,-111.89375700000001,449900,0,6,Single Family,335000,2500,4.0,4.0,2066,1876,1
13,1334204,0.14,65.0,0,2,,40.780552,-111.898075,325000,1,0,Single Family,318000,1686,3.0,1.0,1735,1913,1
14,1333952,0.08,11.0,1,0,,40.774213,-111.882267,349900,1,0,Single Family,367000,1350,5.0,2.0,2361,1896,1
15,1333335,0.01,10.0,1,2,,40.784859999999995,-111.90006799999999,325000,0,0,Townhouse,321500,1940,3.0,4.0,1854,2007,0
17,1333241,0.01,88.0,3,2,610.0,40.786,-111.878905,489000,0,2,Condo,460000,4100,4.0,3.0,3882,1983,0
18,1332887,0.23,20.0,0,2,,40.785182,-111.865673,498000,0,0,Single Family,487000,3504,4.0,3.0,2727,1975,1
19,1333031,0.11,2.0,0,1,,40.772208,-111.870072,298500,1,0,Single Family,300000,2100,2.0,2.0,2031,1900,1
20,1333071,0.1,6.0,0,0,,40.778772,-111.877025,324900,1,1,Single Family,324900,1958,2.0,1.0,1832,1907,1
21,1332674,0.29,6.0,1,3,,40.78949,-111.891625,830000,1,0,Single Family,820000,7061,5.0,4.0,4864,1992,1
22,1332405,0.1,226.0,1,0,,40.772541,-111.865889,359800,1,2,Single Family,362600,1358,3.0,3.0,3101,1909,1
24,1332145,0.12,10.0,0,1,,40.771963,-111.867473,310000,1,0,Single Family,315000,2683,2.0,2.0,1550,1925,1
25,1332278,0.17,206.0,0,2,,40.773466,-111.874094,699990,2,8,Single Family,665000,1600,3.0,2.0,2803,1900,1
26,1331787,0.25,117.0,0,0,,40.773485,-111.864047,499900,0,2,Single Family,451000,2769,5.0,4.0,3865,1870,1
27,1331737,0.11,34.0,0,1,,40.784781,-111.89768000000001,225000,1,5,Single Family,225000,1266,1.0,1.0,1031,1926,1
28,1331760,0.01,29.0,0,0,310.0,40.770454,-111.854868,282500,1,1,Condo,278000,1370,2.0,1.0,1332,1907,0
29,1331596,0.05,,0,2,335.0,40.780454999999996,-111.877274,520000,1,0,Townhouse,520000,2965,3.0,3.0,1999,1987,0
30,1331519,0.1,11.0,0,1,,40.779574,-111.866707,329500,1,0,Single Family,325000,2207,3.0,2.0,1668,1941,1
31,1331438,0.07,4.0,0,2,,40.775484000000006,-111.895858,319900,1,0,Single Family,320000,1317,4.0,2.0,1552,1976,1
32,1331111,0.01,10.0,1,1,463.0,40.771409999999996,-111.91364499999999,219900,0,0,Condo,205000,1200,2.0,2.0,1137,1964,0
33,1330961,0.09,3.0,1,1,,40.7783,-111.86679099999999,525000,1,0,Single Family,525900,2770,4.0,3.0,2434,1939,1
34,1330384,0.04,6.0,2,2,85.0,40.785647999999995,-111.900301,315000,1,0,Single Family,305000,926,2.0,3.0,1674,2013,1
35,1329937,0.08,13.0,0,0,,40.774869,-111.87208999999999,299000,1,3,Single Family,277000,2156,1.0,2.0,2052,1914,1
36,1330141,0.06,10.0,1,0,,40.775988,-111.875023,295000,0,0,Single Family,305000,1200,2.0,2.0,862,1900,1
37,1329747,0.11,42.0,0,2,,40.770503000000005,-111.850825,649900,1,0,Single Family,629400,4034,4.0,3.0,2738,1935,1
39,1329172,0.13,13.0,0,2,,40.771963,-111.862068,529900,1,0,Single Family,520000,2904,4.0,2.0,2595,1908,1
40,1329183,0.08,,1,1,,40.772003999999995,-111.86438000000001,259500,1,0,Single Family,261500,2390,2.0,2.0,1683,1911,1
41,1328035,0.16,106.0,0,0,,40.776957,-111.88073600000001,369000,1,3,Single Family,335000,2706,4.0,4.0,2872,1899,1
42,1327563,0.11,17.0,1,1,,40.779885,-111.868048,379900,1,1,Single Family,379900,1798,4.0,2.0,1932,1941,1
44,1327269,0.0,73.0,1,1,446.0,40.774195,-111.89073300000001,219900,0,0,Condo,213000,1695,2.0,2.0,1182,1962,0
46,1326977,0.31,152.0,0,3,,40.783152,-111.848003,950000,0,0,Single Family,915000,6945,5.0,5.0,5054,1986,1
47,1325927,0.01,7.0,0,2,335.0,40.780485,-111.877028,465000,1,0,Townhouse,455000,3606,2.0,3.0,1991,1987,0
48,1325928,0.22,5.0,0,0,,40.784437,-111.871785,470000,1,0,Single Family,460000,3358,4.0,2.0,2550,1950,1
49,1326795,0.08,63.0,1,1,,40.774045,-111.871599,387900,1,2,Single Family,377500,3933,3.0,2.0,2779,1925,1
50,1325790,0.12,72.0,2,0,,40.780352,-111.86745400000001,419500,1,2,Single Family,400000,2700,3.0,3.0,1918,1939,1
51,1325661,0.26,23.0,1,0,,40.780217,-111.847121,550000,0,0,Single Family,525000,4271,4.0,3.0,2940,1977,1
54,1325063,0.01,111.0,1,2,454.0,40.77228,-111.88696599999999,225000,0,0,Condo,218000,1748,2.0,2.0,1110,1976,0
55,1324629,0.13,13.0,0,2,,40.772303,-111.86445900000001,419000,1,0,Single Family,414400,3469,3.0,2.0,2351,1906,1
57,1324494,0.01,37.0,0,1,217.0,40.770773,-111.8861,289900,2,2,Condo,277500,1998,2.0,2.0,1380,1979,0
58,1323678,0.11,12.0,2,2,,40.781755,-111.88751200000002,524900,1,3,Single Family,517000,4273,3.0,3.0,2265,1954,1
60,1323824,0.14,44.0,1,0,,40.783339,-111.895229,299900,1,2,Single Family,295000,1246,2.0,2.0,2075,1890,1
61,1323825,0.36,192.0,3,5,,40.77543,-111.84308300000001,849900,0,0,Single Family,800000,7395,8.0,6.0,6447,1978,1
62,1323526,0.29,6.0,1,3,,40.790446,-111.886693,725000,1,0,Single Family,715000,5291,3.0,5.0,4060,1975,1
63,1323584,0.09,26.0,0,0,,40.771918,-111.882681,399500,0,4,Single Family,390000,2290,6.0,2.0,2929,1908,1
64,1323212,0.08,1.0,1,1,,40.772591999999996,-111.854845,369000,0,0,Single Family,369000,2412,2.0,1.0,1331,1907,1
65,1323306,0.01,46.0,0,0,310.0,40.770338,-111.854809,279900,1,1,Condo,278000,1370,2.0,1.0,1332,1907,0
67,1322205,0.09,7.0,1,0,,40.783863000000004,-111.895696,295000,0,0,Single Family,308500,1271,2.0,2.0,1333,1902,1
68,1322274,0.01,194.0,1,2,1086.0,40.784012,-111.877146,625000,0,0,Condo,625000,4984,2.0,3.0,1702,2009,0
70,1321943,0.06,36.0,0,0,,40.772209000000004,-111.874812,459500,0,0,Single Family,450000,2300,3.0,3.0,3012,1909,1
71,1320681,0.16,3.0,1,0,,40.772314,-111.86513899999999,325000,1,0,Single Family,335000,2779,2.0,2.0,1449,1906,1
72,1320726,0.21,134.0,0,1,,40.769666,-111.86028300000001,675000,1,5,Single Family,660000,6327,6.0,6.0,4695,1916,1
74,1320518,0.12,108.0,0,2,,40.77081,-111.850614,949000,1,1,Single Family,920000,7071,5.0,4.0,3759,1911,1
75,1320295,0.0,88.0,2,1,217.0,40.770905,-111.886101,279900,0,0,Condo,265000,1924,2.0,2.0,1380,1979,0
76,1320550,0.13,12.0,0,2,,40.773097,-111.86626100000001,426000,2,0,Single Family,400000,1915,3.0,3.0,2371,1920,1
